Date,Month,Week,Site,Habitat,Time,Weather,Tide ht (ft),Surface temp,Bottom temp,Surface salinity,Bottom salinity,Transect #,Snorkeler,Horiz. Secchi,Strata,Transect length (m),Depth,Observation #,Species,Functional group,Count,Density,Approx. length min (cm),Approx. length max (cm),Average of length estimate (cm),Range of length estimate (cm),Position,Behavior,School size,Comment
4/16/08,April,4/14/08,Seahurst,Seahurst,12:30,"cloudy, breezy",6.1,9.7,9.2,27.8,28.1,1,JT,5.6,3.0 deep,75,3,N/A,No fish,No fish,0,0,,,0,0,,,,
4/16/08,April,4/14/08,Seahurst,Seahurst,12:30,"cloudy, breezy",6.1,9.7,9.2,27.8,28.1,2,JT,5.6,2.2 deep,75,2.2,1,Pink,Juvenile salmon,100,0.238095238,2.5,5,3.75,2.5,Surface,Schooling,100,
4/16/08,April,4/14/08,Seahurst,Seahurst,12:30,"cloudy, breezy",6.1,9.7,9.2,27.8,28.1,2,JT,5.6,2.2 deep,75,2.2,2,Pink,Juvenile salmon,50,0.119047619,2.5,5,3.75,2.5,Surface,Feeding,50,
4/16/08,April,4/14/08,Seahurst,Seahurst,12:30,"cloudy, breezy",6.1,9.7,9.2,27.8,28.1,3,JT,5.6,1.2 deep,75,1.2,1,Pink,Juvenile salmon,100,0.238095238,2.5,5,3.75,2.5,Surface,Schooling,100,
4/16/08,April,4/14/08,Seahurst,Seahurst,12:30,"cloudy, breezy",6.1,9.7,9.2,27.8,28.1,4,JT,5.6,0.6 shallow,75,0.6,1,Pink,Juvenile salmon,1,0.002380952,2.5,5,3.75,2.5,Surface,Unaffected,,
4/16/08,April,4/14/08,Seahurst,Seahurst,12:30,"cloudy, breezy",6.1,9.7,9.2,27.8,28.1,5,SH,6.3,3.0 shallow,75,3,1,Dungeness Crab,Crab,1,0.002116402,7.5,10,8.75,2.5,Bottom,Unaffected,,
4/16/08,April,4/14/08,Seahurst,Seahurst,12:30,"cloudy, breezy",6.1,9.7,9.2,27.8,28.1,6,SH,6.3,2.2 shallow,75,2.2,1,Sand Lance,Forage fish,1,0.002116402,5,7.5,6.25,2.5,Middle,Unaffected,,
4/16/08,April,4/14/08,Seahurst,Seahurst,12:30,"cloudy, breezy",6.1,9.7,9.2,27.8,28.1,6,SH,6.3,2.2 shallow,75,2.2,2,Pink,Juvenile salmon,100,0.211640212,2.5,5,3.75,2.5,Surface,Schooling,100,
4/16/08,April,4/14/08,Seahurst,Seahurst,12:30,"cloudy, breezy",6.1,9.7,9.2,27.8,28.1,6,SH,6.3,2.2 shallow,75,2.2,3,Starry Flounder,Flatfish,1,0.002116402,15,17.5,16.25,2.5,Bottom,Swam Away,,
4/16/08,April,4/14/08,Seahurst,Seahurst,12:30,"cloudy, breezy",6.1,9.7,9.2,27.8,28.1,7,SH,6.3,1.2 shallow,75,1.2,N/A,No fish,No fish,0,0,,,0,0,,,,
